Дата начисления;Тип начисления;Номер отправления или идентификатор услуги;Дата принятия заказа в обработку или оказания услуги;Склад отгрузки;Список SKU;Список артикулов;Список товаров или название услуги;За продажу или возврат до вычета комиссий и услуг;Комиссия за продажу;Сборка заказа;Обработка отправления (Drop-off/Pick-up);Магистраль;Последняя миля;Обратная магистраль;Обработка возврата;Обработка отмененного или невостребованного товара;Обработка невыкупленного товара;Логистика (до 15.04 – плата за доставку КГТ);Обратная логистика (до 15.04 – плата за возврат КГТ);Итого
25.05.2023;Доставка покупателю;83766155-0023-1;20.05.2023;FBO;924089759;СЖ05042023;Серьги жемчуг с цирконами бижутерия золотые женские парные сережки бижутерные  украшения;370,00;-55,50;0,00;0,00;0,00;-20,35;0,00;0,00;0,00;0,00;-40,00;0,00;254,15
25.05.2023;Оплата эквайринга;36552613-0203;25.05.2023;;924089702;СЖС05042023;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-4,81
25.05.2023;Доставка покупателю;74134876-0061-1;22.05.2023;FBO;924089702;СЖС05042023;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;507,00;-76,05;0,00;0,00;0,00;-27,89;0,00;0,00;0,00;0,00;-40,00;0,00;363,06
25.05.2023;Оплата эквайринга;66269753-0088;25.05.2023;;924089702;СЖС05042023;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-3,86
25.05.2023;Оплата эквайринга;0112459284-0050;25.05.2023;;924089702;СЖС05042023;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-4,81
25.05.2023;Оплата эквайринга;0126577395-0014;25.05.2023;;803944569;НП26112022;Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-6,54
25.05.2023;Доставка покупателю;40978164-0046-2;23.05.2023;FBO;924089702;СЖС05042023;Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики;507,00;-76,05;0,00;0,00;0,00;-27,89;0,00;0,00;0,00;0,00;-40,00;0,00;363,06
25.05.2023;Доставка покупателю;57575719-0073-1;23.05.2023;FBO;924089759;СЖ05042023;Серьги жемчуг с цирконами бижутерия золотые женские парные сережки бижутерные  украшения;350,00;-52,50;0,00;0,00;0,00;-20,00;0,00;0,00;0,00;0,00;-40,00;0,00;237,50
25.05.2023;Оплата эквайринга;72147942-0068;25.05.2023;;803944569;НП26112022;Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-6,39
25.05.2023;Оплата эквайринга;75049449-0028;18.05.2023;;803944569;НП26112022;Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,43
25.05.2023;Услуга размещения товаров на складе;;25.05.2023;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
25.05.2023;Услуги продвижения товаров;;25.05.2023;;;;"Заказ №1864424. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Продвижение в поиске"" в период 25.05.2023 - 25.05.2023";1;2;3;4;5;6;7;8;9;10;11;12;-233,22
25.05.2023;Услуги продвижения товаров;;25.05.2023;;;;"Заказ №3175878. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Трафареты"" в период 25.05.2023 - 25.05.2023";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-202,20
25.05.2023;Услуги продвижения товаров;;25.05.2023;;;;"Заказ №3284445. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Трафареты"" в период 25.05.2023 - 25.05.2023";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-42,52
25.05.2023;Услуги продвижения товаров;;25.05.2023;;;;"Заказ №3284487. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Трафареты"" в период 25.05.2023 - 25.05.2023";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-74,16
25.05.2023;Услуги продвижения товаров;;25.05.2023;;;;"Заказ №3196946. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Трафареты"" в период 25.05.2023 - 25.05.2023";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-325,57
